         66773765 function calls (66611606 primitive calls) in 565.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3764/3761    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFA0DD113D0}
       48    0.001    0.000    0.002    0.000 _filters.py:226(_gaussian_kernel1d)
       14    0.001    0.000    0.005    0.000 table.py:648(_clear_table_keywords)
     2551    0.001    0.000    0.002    0.000 copyreg.py:98(__newobj__)
      800    0.001    0.000    0.001    0.000 threading.py:110(RLock)
     1400    0.001    0.000    0.002    0.000 transforms.py:1769(__init__)
     3200    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.RLock' objects}
       46    0.001    0.000    0.013    0.000 image.py:46(__init__)
     2083    0.001    0.000    0.003    0.000 <frozen os>:680(__getitem__)
     1640    0.001    0.000    0.002    0.000 queues.py:131(full)
      690    0.001    0.000    0.017    0.000 header.py:2006(__getitem__)
      106    0.001    0.000    0.024    0.000 header.py:96(__init__)
      800    0.001    0.000    0.002    0.000 _base.py:497(set_running_or_notify_cancel)
     4147    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7588    0.001    0.000    0.001    0.000 {built-in method builtins.id}
     1445    0.001    0.000    0.002    0.000 {built-in method builtins.max}
1641/1575    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       51    0.001    0.000    0.003    0.000 inspect.py:2368(_signature_from_function)
      522    0.001    0.000    0.002    0.000 __init__.py:65(check_isinstance)
     16/8    0.001    0.000   12.831    1.604 threading.py:1094(join)
       80    0.001    0.000    2.390    0.030 _filters.py:125(correlate1d)
      518    0.001    0.000    0.001    0.000 transforms.py:179(set_children)
     2642    0.001    0.000    0.001    0.000 transforms.py:110(__init__)
     1555    0.001    0.000    0.003    0.000 header.py:76(_is_reserved_keyword)
     2083    0.001    0.000    0.002    0.000 <frozen os>:754(encodekey)
       36    0.001    0.000    0.006    0.000 ticker.py:2157(_raw_ticks)
      580    0.001    0.000    0.001    0.000 card.py:1265(_format_value)
      800    0.001    0.000    0.002    0.000 threading.py:606(clear)
      738    0.001    0.000    0.002    0.000 transforms.py:1886(__init__)
2916/1766    0.001    0.000    0.005    0.000 {built-in method builtins.hash}
      208    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.path_intersects_rectangle}
       32    0.001    0.000    0.024    0.001 axis.py:59(__init__)
     3350    0.001    0.000    0.001    0.000 header.py:134(__iter__)
     1632    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
       32    0.001    0.000    0.005    0.000 <frozen os>:719(copy)
     3243    0.001    0.000    0.019    0.000 header.py:1931(__get__)
     2727    0.001    0.000    0.002    0.000 {method 'add' of 'set' objects}
       61    0.001    0.000    0.035    0.001 base.py:418(_readfrom_internal)
       77    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
   416/16    0.001    0.000    0.003    0.000 arrayprint.py:837(recurser)
      526    0.001    0.000    0.006    0.000 transforms.py:804(from_extents)
      649    0.001    0.000    0.002    0.000 util.py:472(translate)
      808    0.001    0.000    0.002    0.000 connection.py:207(recv_bytes)
     1600    0.001    0.000    0.001    0.000 {method 'write' of '_io.BytesIO' objects}
     2440    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      478    0.001    0.000    0.041    0.000 header.py:1751(_relativeinsert)
     3022    0.001    0.000    0.001    0.000 column.py:526(__get__)
     3431    0.001    0.000    0.001    0.000 header.py:347(_modified)
     3943    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.001    0.000    0.001    0.000 backend_agg.py:63(__init__)
     1555    0.001    0.000    0.001    0.000 header.py:69(_is_reserved_compression_keyword)
      748    0.001    0.000    0.001    0.000 card.py:440(comment)
      818    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
     1953    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
       44    0.001    0.000    0.001    0.000 {method 'copy' of 'ImagingCore' objects}
     2884    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
    337/7    0.001    0.000  565.570   80.796 text.py:65(_get_text_metrics_with_cache)
     3450    0.001    0.000    0.001    0.000 process.py:99(_check_closed)
       56    0.001    0.000    0.001    0.000 {method 'flush' of '_io.BufferedWriter' objects}
      130    0.001    0.000    0.002    0.000 column.py:1366(_convert_to_valid_data_type)
  274/266    0.001    0.000    0.053    0.000 hdulist.py:342(__getitem__)
      800    0.001    0.000    0.001    0.000 __init__.py:146(_DType_reduce)
      329    0.001    0.000    0.016    0.000 header.py:1637(_update)
     1541    0.001    0.000    0.011    0.000 header.py:826(<genexpr>)
       32    0.001    0.000    0.201    0.006 popen_spawn_win32.py:44(__init__)
      800    0.001    0.000    0.002    0.000 threading.py:447(acquire)
